dimension,category,weight,what_good_looks_like,what_bad_looks_like,signal_to_check,white_space_test
value-proposition-clarity,positioning,5,a first-time visitor can restate who it is for and the outcome within one screen,hero leads with the company name or a vague slogan and states no outcome,H1 + subhead + hero copy above the fold,every competitor names a feature but none names the buyer outcome
audience-specificity,positioning,4,the target buyer is named or unmistakably implied in the first section,copy tries to speak to everyone so it lands with no one,hero and first-section language; use-case or industry callouts,all rivals stay generic and a named niche is unclaimed
differentiation-vs-category,positioning,4,states a specific reason to choose it over the obvious alternative,claims any competitor could copy verbatim (fast; easy; trusted),why-us or comparison copy; specificity of the claims made,the whole set makes interchangeable claims
visual-hierarchy,brand-craft,4,the eye lands on the primary action first with a clear size and weight order,competing focal points so everything shouts and nothing reads,headline-vs-body contrast; CTA prominence; first-screen scan path,no competitor has a calm confident first screen
typographic-system,brand-craft,3,a deliberate type pairing with a consistent scale and reading rhythm,system-default fonts; inconsistent sizes; cramped line length,heading and body fonts; scale steps; measure and line-height,the niche relies on default system fonts
color-system-discipline,brand-craft,3,a restrained palette used consistently with accessible text contrast,many unrelated hues; low-contrast text; no repeated accent,count of distinct hues; text-on-background contrast; accent reuse,no competitor owns a distinct memorable color
proof-and-specificity,content-depth,4,claims are backed by numbers cases or named concrete detail,adjectives without evidence and stock superlatives,presence of metrics; case detail; named examples,rivals assert quality but none proves it
content-freshness,content-depth,2,recent updates dated content or a maintained resource section,stale copyright year; dead blog; abandoned resources,footer year; latest post date; changelog or news section,the niche looks dormant so recency is unclaimed
information-scent,content-depth,3,labels and nav predict where content lives so users find it fast,clever-but-opaque labels; buried key pages; weak navigation,nav labels; page titles; link-text clarity,no competitor makes core answers easy to reach
social-proof-density,trust-signals,3,specific testimonials logos or counts placed near the decision points,no proof or vague unattributed quotes,testimonial attribution; client logos; review counts,the set shows little credible social proof
credibility-markers,trust-signals,3,team faces credentials guarantees or third-party validation are visible,an anonymous faceless site with no accountability signals,about or team page; certifications; guarantees,no competitor shows the humans behind the work
transparency,trust-signals,3,pricing contact and policies are easy to find and plainly stated,hidden pricing; contact buried; evasive policy language,pricing page; contact visibility; policy clarity,the niche hides pricing so openness becomes a wedge
primary-cta-clarity,conversion-path,5,one dominant action per view with an outcome-oriented label,many equal CTAs or generic submit and learn-more labels,count of primary buttons above the fold; label wording,every rival buries or clutters its main action
friction-and-form-load,conversion-path,4,the path to act is short and forms ask only what is needed,long forms; forced signup; needless steps before any value,form field count; steps to convert; gates placed before value,competitors gate everything so a low-friction path wins
mobile-conversion-readiness,conversion-path,4,legible type reachable CTA and comfortable tap targets on a phone,desktop-only layout; tiny taps; CTA pushed off-screen on mobile,responsive layout; tap-target size; mobile CTA placement,the niche neglects mobile buyers
on-page-seo-surface,findability,3,titles headings and copy target the real language buyers search,keyword-thin or keyword-stuffed; missing H1; jargon-only copy,title tag; H1 and H2 terms; body keyword relevance,no competitor speaks the searcher's actual words
metadata-and-schema,findability,2,clean meta descriptions and relevant structured data are present,missing or duplicate meta; no schema; poor share previews,meta description; JSON-LD presence; open-graph tags,rivals ignore structured data and share previews
page-performance-signals,findability,3,fast first paint stable layout and lightweight hero media,heavy unoptimized media; visible layout shift; slow first screen,hero asset weight; render-blocking resources; layout shift,the niche is slow so speed is an easy differentiator
