data_shape,chart_type,best_for,min_series,max_series,max_points,a11y_grade,a11y_fallback,notes
time-series-single,line,"a single trend over evenly-spaced time",1,1,400,A,data-table,"direct-label the end point instead of a legend"
time-series-single-filled,area,"a single trend where magnitude/volume reads better filled",1,1,200,A,data-table,"avoid stacking a lone series; a fill implies cumulative to some readers"
time-series-multi,multi-line,"compare a few trends over the same time axis",2,6,400,B,small-multiples,"past ~6 lines it becomes spaghetti; switch to small-multiples"
time-series-many,small-multiples,"many trends where each needs its own frame",7,40,200,A,data-table,"share one y-axis scale across facets so comparison stays honest"
category-compare-few,bar-vertical,"compare one value across a handful of nominal categories",1,1,12,A,data-table,"start the value axis at zero; sort by value unless the order is natural"
category-compare-many,bar-horizontal,"compare one value across many categories with long labels",1,1,40,A,data-table,"horizontal keeps labels readable; sort descending"
category-compare-huge,lollipop,"rank many categories where solid bars get visually heavy",1,1,80,B,ranked-table,"lighter ink than bars at high category counts"
category-grouped,grouped-bar,"compare 2-4 series within each category",2,4,12,B,data-table,"keep groups small; more than 4 series per group is unreadable"
part-to-whole-few,donut,"one share-of-total with very few slices",1,1,5,B,labeled-bar,"cap at ~5 slices; label values, never rely on angle alone"
part-to-whole-stacked,stacked-bar-100,"compare composition across categories that each sum to 100",2,6,12,B,grouped-bar,"good for shares; annotate segment values"
part-to-whole-many,treemap,"nested share where the slice count defeats a pie",1,1,60,C,ranked-table,"needs value labels; area is hard to compare precisely"
hierarchy-nested,sunburst,"a multi-level part-to-whole hierarchy",1,1,60,C,indented-table,"rings past 3 levels lose legibility; offer a table"
hierarchy-tree,icicle,"a strict parent-child hierarchy with magnitude",1,1,80,C,indented-table,"rectangular is easier to label than a radial layout"
two-var-correlation,scatter,"the relationship between two numeric variables",1,1,2000,B,data-table,"add a trend line; alpha-blend to reveal density"
two-var-dense,density-heatmap,"a correlation when points overplot heavily",1,1,100000,C,binned-table,"bins beat overplotted dots past ~2k points"
three-var-magnitude,bubble,"two axes plus an encoded size dimension",1,1,200,C,data-table,"area-encode (not radius) the third variable; cap the bubble count"
distribution-single,histogram,"the shape of one continuous variable",1,1,100000,A,summary-table,"bin width is the story; state it in the caption"
distribution-summary,box-plot,"the median, spread and outliers of a distribution",1,1,100000,B,five-number-table,"annotate the five-number summary for screen readers"
distribution-compare,box-plot-grouped,"compare distributions across groups",2,20,100000,B,five-number-table,"order groups by median for a readable progression"
distribution-shape,violin,"compare full distribution shapes across a few groups",2,8,100000,C,histogram-facets,"only when shape (bimodality) matters; otherwise a box plot"
flow-between-nodes,sankey,"quantified flow between stages or nodes",1,1,40,C,flow-table,"cap the node count; label link magnitudes"
flow-relationships,chord,"mutual flows among a closed set of entities",1,1,20,C,matrix-table,"hard to read past ~15 nodes; offer the matrix"
flow-stage-dropoff,funnel,"sequential drop-off through strictly ordered stages",1,1,10,B,stage-table,"stages must be sequential; show absolute and percent"
matrix-two-cat,heatmap,"one metric across two categorical axes",1,1,2500,C,pivot-table,"use a colorblind-safe sequential scale; label sparse cells"
geospatial-region,choropleth,"a rate or ratio mapped to bounded regions",1,1,4000,C,ranked-table,"map rates not raw counts; pair with a ranked table"
geospatial-point,symbol-map,"discrete located events or sites",1,1,5000,C,location-table,"cluster dense points; size by magnitude, not color alone"
single-value-target,bullet,"one KPI against a target and qualitative bands",1,1,1,A,labeled-value,"more honest and compact than a gauge"
single-value-headline,big-number,"a single headline metric with an optional delta",1,1,1,A,labeled-value,"pair the number with a sparkline for context"
value-with-trend,kpi-sparkline,"a headline metric plus its recent trend",1,1,100,A,labeled-value-and-table,"the sparkline gives shape; the number gives precision"
cumulative-over-time,area-cumulative,"a running total accumulating over time",1,1,400,A,data-table,"make cumulative-vs-incremental explicit in the title"
composition-over-time,stacked-area,"how parts of a whole shift over time",2,6,400,C,line-per-series,"unstable middle bands mislead; cap series and order by size"
range-over-time,range-band,"a min-max or confidence band around a time series",1,2,400,B,data-table,"encode the band with fill plus a labeled bound, not color alone"
deviation-from-baseline,diverging-bar,"values above and below a meaningful zero",1,1,40,A,data-table,"center on zero; use a colorblind-safe diverging pair with signs"
ranking-change-two,slopegraph,"a rank or value change between two points in time",1,1,30,B,before-after-table,"direct-label both ends; ideal for exactly two periods"
ranking-over-time,bump-chart,"rank movement across several periods",2,15,20,C,rank-table,"lines encode rank not value; annotate ties"
multivariate-profile,radar,"compare a few entities across shared axes",1,4,12,C,parallel-coordinates,"only for <=4 series and a stable axis order; else a table"
multivariate-many,parallel-coordinates,"compare many records across several numeric axes",1,5000,12,C,data-table,"allow axis reordering; brush to filter"
connection-network,node-link,"entities and the relationships between them",1,1,300,C,edge-table,"force layout is non-deterministic; provide an edge list"
text-frequency,ranked-bar,"term or category frequency",1,1,40,A,data-table,"prefer a ranked bar over a word cloud (area is unreadable)"
survey-likert,diverging-stacked-bar,"agreement or sentiment across ordered response categories",2,7,20,B,data-table,"center on the neutral midpoint; order by net-positive"
